team,stadium,city,state,conference,capacity,built,expanded,div,latitude,longitude,logo
Ball State,Scheumann Stadium,Muncie,IN,MAC,22500,1967,2007,fbs,40.21602764466651,-85.41769962206614,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\ballState.png"""
Baylor,McLane Stadium,Waco,TX,Big 12,45140,2014,,fbs,31.558662635511688,-97.11560010910034,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\baylor.png"""
Boise State,Albertsons Stadium,Boise,ID,Mountain West,37000,1970,2012,fbs,43.60270805386829,-116.19591236114502,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\boiseState.png"""
Boston College,Alumni Stadium,Chestnut Hill,MA,ACC,44500,1957,1995,fbs,42.33510834895851,-71.16647243499756,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\boston.png"""
Bowling Green,Doyt Perry Stadium,Bowling Green,OH,MAC,23724,1966,,fbs,41.378054398032276,-83.62248212099075,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\bowlingGreen.png"""
Buffalo,UB Stadium,Amherst,NY,MAC,29013,1993,,fbs,42.99906838239644,-78.7775194644928,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\buffalo.png"""
California,California Memorial Stadium,Berkeley,CA,Pac-12,62717,1923,2012,fbs,37.87068660370429,-122.2507095336914,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\california.png"""
Central Michigan,Kelly/Shorts Stadium,Mount Pleasant,MI,MAC,32885,1972,1997,fbs,43.57761228257453,-84.7708296775818,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\centralMichigan.png"""
Charlotte,Jerry Richardson Stadium,Charlotte,NC,C-USA,15314,2013,,fbs,35.31028067616406,-80.74049377106526,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\charlotte.png"""
Cincinnati,Nippert Stadium,Cincinnati,OH,American,40000,1924,2015,fbs,39.13128425273405,-84.51626143741578,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\cincinnati.png"""
Clemson,Memorial Stadium,Clemson,SC,ACC,81500,1942,2006,fbs,34.678746657413456,-82.8431797027588,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\clemson.png"""
Coastal Carolina Chanticleers,Brooks Stadium,Conway,South Carolina,Big South,9214,2003,20062010,fbs,33.792838175224496,-79.01702282805255,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\coastalCarolina.png"""
Colorado,Folsom Field,Boulder,CO,Pac-12,50183,1924,2003,fbs,40.00939837446321,-105.26688694953918,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\colorado.png"""
Colorado State,Sonny Lubick Field at Colorado State Stadium,Fort Collins,CO,Mountain West,41200,2017,,fbs,40.561742448678004,-105.13984371192213,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\coloradoState.png"""
Connecticut,Rentschler Field,East Hartford,CT,American,40000,2003,,fbs,41.759884278202904,-72.61894226074219,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\connecticut.png"""
Duke,Wallace Wade Stadium,Durham,NC,ACC,33941,1929,2014,fbs,35.995316650201296,-78.94172430038451,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\duke.png"""
East Carolina,Dowdy–Ficklen Stadium,Greenville,NC,American,50000,1963,2010,fbs,35.596425796989315,-77.36522912979127,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\eastCarolina.png"""
Eastern Michigan,Rynearson Stadium,Ypsilanti,MI,MAC,30200,1969,1992,fbs,42.2557607087688,-83.6477565765381,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\easternMichigan.png"""
FIU,FIU Stadium,Miami,FL,C-USA,23500,1995,2012,fbs,25.75249278747405,-80.37786483764648,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\floridaIntl.png"""
Florida,Ben Hill Griffin Stadium,Gainesville,FL,SEC,88548,1930,2003,fbs,29.649868677972304,-82.34866619110106,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\florida.png"""
Florida Atlantic,FAU Stadium,Boca Raton,FL,C-USA,30000,2011,,fbs,26.3754535636523,-80.10168313980104,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\floridaAtlantic.png"""
Florida State,Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,ACC,82300,1950,2003,fbs,30.437547584621285,-84.30453398103501,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\floridaState.png"""
Fresno State,Bulldog Stadium,Fresno,CA,Mountain West,41031,1980,1992,fbs,36.81431969524593,-119.75810156690552,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\fresnoState.png"""
Georgia,Sanford Stadium,Athens,GA,SEC,92746,1929,2004,fbs,33.949821489498824,-83.37344169616698,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\georgia.png"""
Georgia Southern,Paulson Stadium,Statesboro,GA,Sun Belt,24300,1984,2014,fbs,32.41221167634779,-81.78317070007323,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\georgiaSouthern.png"""
Georgia State,Georgia Dome,Atlanta,GA,Sun Belt,28155,1992,,fbs,33.757617376478485,-84.40106034278871,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\georgiaState.png"""
Georgia Tech,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,ACC,55000,1913,2003,fbs,33.772556921319435,-84.39285278320312,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\georgiaTech.png"""
Hawaii,Aloha Stadium,Honolulu,HI,Mountain West,50000,1975,2003,fbs,21.372782993268284,-157.92996883392334,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\hawaii.png"""
Houston,TDECU Stadium,Houston,TX,American,40000,2014,,fbs,29.721767963293534,-95.34909841095215,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\houston.png"""
